NFT,Floor Price,24h,Market Cap,24h Volume,Owners,24h Owners,Total Assets
The Sevens,0.169,-2.2%,1183.0,0.35,2785.0,-0.1,7000.0
AlphaBetty Doodles,0.05,-25.6%,500.0,0.32,3545.0,0.0,10000.0
CryptoDragons Eggs,0.079,4.1%,220.96,0.29,1377.0,-0.1,2797.0
Bloot,0.04,39.5%,320.32,0.26,3970.0,-0.1,8008.0
Angry Apes United,0.035,4.1%,311.08,0.17,4945.0,0.0,8888.0
APE DAO REMIX!,0.05,4.1%,277.5,0.16,2615.0,-0.0,5550.0
Light Super Bunnies,0.0123,4.1%,54.82,0.16,1718.0,0.0,4457.0
CryptoZombiez,0.02,-16.7%,111.1,0.15,813.0,-0.5,5555.0
Generative Masks,0.032,-52.4%,319.97,0.15,3466.0,-0.0,9999.0
United Punks Union,0.001,-47.9%,3.62,0.1,1192.0,0.0,3624.0
Bored Bananas,0.035,-36.1%,140.95,0.1,1838.0,0.1,4027.0
Dope Shibas,0.01,-47.9%,98.99,0.09,3982.0,0.1,9899.0
Spirit Orb Pets,0.05,4.1%,38.85,0.07,370.0,0.0,777.0
MOONDOGS ODYSSEY,0.015,-17.8%,75.0,0.05,1923.0,0.1,5000.0
Space Poggers,0.0195,4.3%,242.62,0.04,3448.0,0.1,12442.0
Derpy Birbs,0.009,4.5%,73.73,0.04,1841.0,0.2,8192.0
Dark Super Bunnies,0.01769,19.6%,78.0,0.04,1738.0,0.1,4409.0
COVIDPunks,0.009,-64.0%,2.74,0.03,189.0,0.0,305.0
Bored Ape Comic,0.028,-5.8%,279.97,0.03,2707.0,0.1,9999.0
MondrianNFT,0.01,-12.8%,40.96,0.02,1840.0,0.2,4096.0
Spookies,0.01,4.1%,88.88,0.02,2676.0,0.0,8888.0
Settlements,0.0001,0.2%,0.99,0.0,1577.0,0.0,9905.0
Cypher,0.7,4.1%,716.8,0.0,540.0,0.0,1024.0
Singularity by AIIV,0.14,47.3%,140.0,0.0,523.0,0.0,1000.0
